prompt,completion
CD3 gets closer,"


Last week, scientists found a new moon:  
a second one, peculiar and small.  

The poets will be excited. Maybe now  
they can write about the moon without consequence  
  
since it will be new, and free of tropes.  
Perhaps they will hang on it like honey.  
  
There’s a part of me that thinks if we can get a new moon  
then maybe anything could happen. Like maybe I could hand you  
  
a spoonful of the moonlet, and you could pour it down my chin.  
Maybe the poets could eat goat cheese by the river, and listen  
  
to Kate Bush on repeat. We could design a little ocean,  
just the two of us, pulling tides up along contiguous shores.  
  
They say the new moon could’ve been there for years.  
And what would we have done—  
  
written twice as many poems? Held an eggshell, a spoon,  
in our hands, like a lover returning? Listened to Kate Bush?  
  
I do those things anyway. I’d like to do them with you,  
with our small impermanent moon.  
"
its dark in a box built by the father,"
  Tell me are you dark?

 Is it dark in the box?

 Show me. Do you

 always have pride

 in your work?

 You have taught

 me well. Life

 is a flying pig and

 you are a closet.

 I live in the sky today

 and refuse to look

 down on my guy.

 Why did you hate

 your father? Why

 did you turn me

 into him? I live inside

 shapes for days, electric

 cables and clouds

 give me what I need.

 I’m for the man

 who drives the hammer.

 The ones left out

 in cold, at work,

 spirited, unchurched.

"
the restroom,"


It’s become as ordinary now  
as seeing my face reflected  

in the bathroom mirror,  
or hovering over the porcelain  

toilet. I think, it’s been  
nine years since you’ve died.  

I’ve made an invisible list  
of what you’ve missed. You never  

met the man I’ve married. Or  
sipped that aromatic bougie drink  

at the restaurant with smoked  
meats, or pet my dog, or toured  

my new house. It’s unfair  
but sometimes I pretend you’d  

hate it all, judge him, dismiss  
the podunk town we live in,  

just to make myself feel better.  
Other days, your face appears  

behind mine laughing in the mirror,  
me sharing a sideways secret  

about my life that you never  
asked for while, outside, someone  

hammers away at the door.  

"
on this night of our choosing,"
On this day of our choice

 we have collected

 at forests like

 some insect

 varietals

 beetling their way

 to the heart of

 the copse. We have

 coalesced for

 the moment as

 dewdrops do

 bivouac in the

 abdomen of leaves

 pooling tensility

 against atomizing

 sun or its reflection

 sprung from mica

 pieces studding

 the sharp loam.

 The tenderfooted

 will wince

 the shod shall

 advance this day

 of our choice when

 we pass separate

 through the wood

 to track in packs

 paths whose blaze

 is merely what

 we toss ahead.

 All hopes into

 mouths of our

 beer cans are fed

 crumpled jettisoned

 and come upon

 twenty yards

 down the trail

 as though left

 to augur for

 us there. But

 no other has

 before stood

 here with legs

 spread open as

 a pair of shears

 pin-stuck in the

 soil like sign

 of a miracle.

 Here the trees

 are deplumed

 limbs mangled

 and gray like

 stone jali hiding

 others gone other

 ways this day

 of our choosing

 foreshortened to

 evening already.

 No two paths

 cross and were

 they to they

 might as wires

 sparking this

 night of our

 choosing to fire

 but uncovering

 a charcoal plain

 across which we

 might see one

 another again.

"
obscenity test for polite company,"
I pick my gap-toothed cunt up off the floor.

 I can feel it in my lap, trembling there

 like a small insect. 

  

 Oh cut the crap dear cunt, I tell it. 

 The time it took the ocean to carve this valley,

 that was one day in the life of a cunt.

  

 Cunt of cordage and rigging, of shock

 and sigh of wave. Then, yes—

 with such strangeness it opens,

  

 gives name to the sounds that rise early

 at my window: wind and leaf

 and leafblower and the opened husk 

  

 of sun. The cunt could name mountains,

 but its paper wings just beat and beat.

"
tangerine moon,"
 the avenue throws flat teeth at the moon:

 in the evening a single sided coin, indicating roundness,

 a tangerine phosphorescing in plastic bag.

  

 it is bagged, the moon, and the woman

 sighs against her crescent toed shoes

 while a thunderous shadow of teeth

  

 afflict the pitted moon, which the woman

 keeps in a pocket to save for the afternoon,

 swallowing pieces, spitting seeds.

  

 the artillery of the street batters her ears,

 hums against the weight of her tangerine

 and her moon, chatters her teeth, bears her heels

  

 along the flat avenue, which carries shreds

 of a confetti donkey lately bursted

 with chocolate coins papering the streets

  

 like dimes of gold leaf. she can feel

 her feet taking root, the artillery of cars

 pushing through the drums of her ears.

  

 she will become a gold statue, a daughter

 of midas, frozen throwing arm in midair

 to try and send some part of her self to the moon.

"
hear fell their sinew,"
& this sŭn birthed another

 with tears in her face -

 yellowed or gilded or faded or

 green - whatever the sun fancied

 for his willowed basement matter

 & this sŭn watched another

 with splinters at his sapling fingers

 from the wood in his veins -

 usher three men into the church

 where his mother wore her veils

 & this sŭn watched her

 yearn to flourish when showers came -

 unexpected - regular -

 and she grew with each one

 and she died for so much of each year

 & this sŭn saw a boy almost

 half the time - through mirrors - weeping

 as she had constantly taught him

 how to keep the wisps from lighting him

 afire - aflame - a glow, distantly

 & this sŭn called a meeting

 when he was gaunt - taut - white

 heat seeping from the crows in her smile

 with dreamt messes of unfeeling limbs

 - snap - bitten brittle - brittle together

 & this sŭn wept

 when he raised up the axe to

 chop down a mother - child

 for the gift of warm space

 where new sprouts could breach

"
cloud ear,"
the brick path worn deep into so a bruise of moss blooms out beneath

 the surface of the whole—one day i stood

  

 upon a wicker seated chair & fell at once & that same thing took hold

 within both shins. a swollen marsh. among the cherry blossom trees

  

 at alishan, windows are made in certain trunks & crutches bear

 up certain limbs. the boardwalk

  

 opens for these bodies as devotional. the cedar forests

 blur the light with cedar fragrant mist, from a thousand year

  

 old stump mushrooms another, & that second stump in turn buds

 with the grandchild tree. roots murmuring through gills. a placard reads:

  

 the first sacred tree fell in a storm, whereupon local government

 arranged a fair election for another one. we arrive at bleachers

  

 semiluned around the newer tree, the vapor rises through us as a chill

 or memories of isthmus thin enough that on the road

  

 water entered into each eye, we drove a golf cart along the caesura of a long

 rhythmic line to somewhere murderers had once unearthed

  

 innumerable woman figurines. picture working the earth of the body

 open with one hand & stretching in

  

 for a shape of clay, of bone, of dark moss in your image. of jelly. for the seam

 of loam. under the skin’s a humid place

  

 you won’t want to stay long. now out of which

 i conjure a long line of mothers, each one sick in her slow way

  

 holding her cup of water, going towards bed. how tired she is, she says.

 can we not let her rest.

"
the human condition,"

*After Magritte (1935) and Leone (1966)*  


Doctors promise it is not so, but I swear I am  
going deaf in my left ear. Unequivocally, this is  
more humiliating for them than it is for me.  

After all, I have done the tests, snapped my fingers  
on left and right, heard the difference in pitch  
like the small slaps of waves under the hull.  

Once, in a floating hotel, I was given no pillow,  
told the sound of the river would be my cushion.  

Still, I couldn’t fall out of time there, couldn’t still  
the thrum of my pulse: something about sweeping  
and ticking, the dull shush of the sand.  

It’s like that sometimes on dim afternoons,  
a slow wade into late lunch and oyster crackers,  
when the real sense of small apocalypse creeps in.  

It rolls by, the tumbleweed a minute before high noon,  
the shrill, smoking, wild-west beat like boiling water.  

The Good, The Bad, The Ugly, each passing like a hiccup  
because the throat makes no such distinctions when parched.  
It simply cries out, then sleeps.  

In the Western, the cowboy hero. Drygulched  
when he least expects it. Bandits rustle his steer. Revolvers pop  
like whips. Again and again, owl eyes stare with apathy.  

There is much in this world that is unspeakable,  
and so much silence worlded by its thingness.  

Like the leeward side of a mountain, which is deserted  
by the rain, lying in its shadow. The silent rock as it stands.  
There is only one thing in the universe that is like an ocean.  

Somehow, it all spins like a quarter on the sticky bar counter,  
the illusion of fullness, a silver berry, for a second. Then the drop.  
Something about sweeping and ticking.  
"
from the fly bottle,"
*358° of *Universe

  

 I am Marion Delgado. Amarillo ramp. We begin to notice gangs of women roaming about the city. I had

 forgotten that summer was an emotion. This is the stage of anti-imperialist struggle. Herons wading in the

 shallow water. My points are extended, their borders provisional. A great din at the ocean’s bottom.

 Patrick climbed into his Chinese drag. Memories of my mother’s mother. A specific tasted, like chewing a

 pencil. Tho it was too crowded to see the front of the bus, I could see the sun-illumined faces of the

 boarders, the light in their hair, reflected on the inside of a window a few seats ahead of me. This means

 defining with precision every class and every sector within every class, and how each sector lines up at

 each stage in the struggle against imperialism. I am Marion Delgado. This is not so complicated. Amarillo

 ramp. Rough squares had been cut from the seat cushions of the bus. We begin to notice gangs of

 women roaming about the city. She was a visitor. I had forgotten that summer was an emotion. Trucks,

 cattle dry grass, the moon in the morning sky. This is the stage of anti-imperialist struggle. As the sun set

 they cooked dinner on Bolinas beach. Herons wading in the shallow water. Come Sunday morning, we

 brunched in the cafes. My points are extended, their borders provisional. I am Marion Delgado. Calm, as

 tho stunned, we performed our functions. A great din at the ocean’s bottom. Amarillo ramp. These flowers

 bloom in fog. Patrick climbed into his Chinese drag. We begin to notice gangs of women roaming about

 the city. A tunnel under the river that would take you from Detroit to Canada. Memories of my mother’s

 mother. I had forgotten that summer was an emotion. Woman in a pink pantsuit, head tipped forward,

 asleep. A specific taste like chewing a pencil. This is the stage of anti-imperialist struggle. I am Marion

 Delgado. In the rear of the bus a man bottlenecked a guitar as two others wrestled silently in the aisle.

 Tho it was too crowded to see the front of the bus, I could see the sun-illumined faces of the boarders, the

 light in their hair, reflected on the inside of a window a few seats ahead of me. Herons wading in the

 shallow water. Amarillo ramp. Here is a question of truth in fiction. This means defining with precision

 every class and every sector within every class, and how each sector lines up at each stage in the

 struggle against imperialism. My points are extended, their borders provisional. We begin to notice gangs

 of women roaming about the city. My friends were all unhappy and confused over the pill, the diaphragm,

 and the I.U.D. This is not so complicated. A great din at the ocean’s bottom. I had forgotten that summer

 was an emotion. I am Marion Delgado. There was my life as a form of fact. Rough squares had been cut

 from the seat cushions of the bus. Patrick climbed into his Chinese drag. This is the stage of anti-

 imperialist struggle. Amarillo ramp. The fog burns off. She was a visitor. Memories of my mother’s mother.

 Herons wading in the shallow water. We begin to notice hangs of women roaming about the city. Able to

 apprehend the object of my perception. Trucks, cattle, dry grass, the moon in the morning sky. I am

 Marion Delgado. A specific taste, like chewing on a pencil. My points are extended, their borders are

 provisional. I had forgotten that summer was an emotion. Small speckled eggs. As the sun set they

 cooked dinner on Bolinas beach. Amarillo ramp. Tho it was too crowded to see the front of the bus, I

 could see the sun-illumined faces of the boarders, the light in their hair, reflected on the inside of a

 window a few seats ahead of me. A great din at the ocean’s bottom. This is the stage of anti-imperialist

 struggle. Woman asleep behind dark glasses. Come Sunday morning, we brunched in the cafes. We

 begin to notice gangs of women roaming about the city. I am Marion Delgado. This means defining with

 precision every class and every sector within every class, and how each sector lines up at each stage in

 the struggle against imperialism. Patrick climbed into his Chinese drag. Herons wading in the shallow

 water. Anyone with a bullhorn and a red armband was a leader. Calm, as tho stunned, we performed our

 functions. I had forgotten that summer was an emotion. Amarillo ram*p. This is not so complicated.

 Memories of my mother’s mother. My points are extended, their borders provisional. Fuck with fear.

 These flowers bloom in fog. I am Marion Delgado. This is the stage of anti-imperialist struggle. WE begin

 to notice gangs of women roaming about the city. Rough squares had been cut from the seat cushions of

 the bus. A specific taste, like chewing on a pencil. A great din at the ocean’s bottom. Ideology is for

 everyone. A tunnel under the river that would take you from Detroit to Canada. Amarillo ramp. Herons

 wading in the shallow water. I had forgotten that summer was an emotion. She was a visitor. Tho it was

 too crowded to see the front of the bus, I could see the sun-illumined faces of the boarders, the light in

 their hair, reflected on the inside of a window a few seats ahead of me. I am Marion Delgado. Patrick

 climbed into his Chinese drag. Over cocktails, relaxed, taking in not one but several conversations at

 once, I tended to mix the various responses. Woman in a pink pantsuit, head tipped forward, asleep. We

 begin to notice gangs of women roaming about the city. My points are extended, their borders provisional.

 This is the stage of anti-imperialist struggle. Trucks, cattle, dry grass, the moon in the morning sky. This

 means defining with precision every class and every sector within every class, and how each sector lines

 up at each stage in the struggle against imperialism. Amarillo ramp. Memories of my mother’s mother.

 The pelican flew alongside the car, accompanying us over the bridge. In the rear of the bus a man

 bottlenecked a guitar as two others wrestled silently in the aisle. I am Marion Delgado. I had forgotten that

 summer was an emotion. A great din at the ocean’s bottom. As the sun set they cooked dinner at Bolinas

 beach. This is not so complicated. We begin to notice gangs of women roaming about the city. A specific

 taste, like chewing a pencil. The two girls traveled with their mother, a professional shoplifter, from suburb

 to suburb, Kansas, Missouri, Texas, somewhat ahead of the cops. Here is the question of truth in fiction.

 Amarillo ramp. This is the stage of anti-imperialist struggle. Patrick climbed into his Chinese drag. I am

 Marion Delgado.

"
i am filling the creases,"
I am filling the creases on your neck   
and your palms, from which sand

once rose, as from the creases of   
a sidewalk where a parched wind

wrestles. The unfolding of   
your back revels in its grace as though

it were a sickness, or falling   
leaves curling around

a current of air. My hands   
falling on yours, my hands

on your unfolding back,   
especially on your unfolding back, 

become poplar leaves. That I cannot   
hide in a crease your smile

makes in your cheek is   
my one regret as I let my eyes

shut out the light: unseen,   
it will dissolve the gentle weight

of distances. I know how to   
stop and start at the brim.   
  
  


"
symphony of kaleidoscopes,"
2013,

  

 I

  

 on a dizzy morning in june

 my eyes were rubbed against the view

        of that piazza

 you should see those kaleidoscopes

 - even as a child of ten

 i could never take my eyes off of them-

 for the very first time, as if in a dream

        i saw the reality;

 my beard grown out,

 and my voice cracking,

 and seeing

 words could be tender

 no matter what

  

 i was thinking of those desks

 those school desks dangling in my mind

        as like question marks

 in those school days still capturing my mind

 and to those dangerous questions

 we used to raise our hands

 under the shadow of the rotten stringers

 so many unanswered questions has left

 a couple thousands of us

 trying to explain

 the close range between innocence and rage:

 rage is cruel without innocence

 innocence is submission

        without rage, said a man

 (on his eyebrows there was blood and sand)

  

 on that morning

 we had already burnt down the desks

 our kaleidoscopes were in pieces

  

 no rust left on the stringer

 no lies in our words

  

 II

  

 the day was booming.

 colosseum tumbling down

        for the very first time

 the earth was seen as it was:

 the surface split in two,

 two different orchestras, earth in polyphony,

 one telling us kurt huber’s dead

 the other playing shostakovic, the 7th symphony!

  

 On that very day

 just like a dissident string

        breaking loose from a violin

 the city broke loose

        from the earth. 

"
open ocean falls,"
For S.P.—

  

 Open ocean

 falls closing into

 the white past dark blue

  

 where bound, in sand,

 in sun, blood, we lie

 unopened: five years

  

 of love – still

 it runs caught: every cell

 is a blue diver falling

  

 the volume under papyrus stretched,

 its inner face bathed as in tea –

 to look old? You look

 lived in, like home

                                        till

 the diver surfaces, volume

 unbinds – till the page

 cracks, read –

                              the ocean has never

 opened –

  

 the tea leaves its leaves

             (the waves turn over)

 the sea leaves and leaves

             (almost in sleep)

 we leave love

"
parrot,"


      Stranger, uninvited, you  
come up to us on the sidewalk,  

my daughter’s hand in mine, you  
look at her &  

coo, *It goes so fast.* What, stranger,  
is this unnamed *it*—this day?  

her life? our  

happiness? Stranger, maybe you  
missed it, but just now  

my daughter & I hurled  

rocks into the emptiness  
& we created more  

emptiness.  


"
dawn redwood,"
  Early morning light: a young red-tailed hawk

 glided onto an overhead branch and peered

  

 down at me, but it did not look with your eyes—

 a battered and rusted pickup lies in the wash;

  

 Navajo tea buds on the trail—I headed back

 and checked, in the boiler room, the traps,

  

 baited with peanut butter—now a gnat

 flits against this lit screen: where are you now?

  

 One morning, we walked in a Rhode Island

 cemetery and did not look at a single gravestone;

  

 we looked at hundred-year-old copper beeches,

 cells burnished purple, soaking up sunshine,

  

 and talked about the dawn redwood,

 how the glimmering light at the beginning

  

 of the world was in all things. This morning,

 in the predawn darkness, Orion angled

  

 in the eastern sky with Sirius, low,

 above the ridgeline; and, before daylight

  

 blotted out the stars, I heard you speak,

 *the scratched words return to their sleeves*.

"
nicholas,"

Honey locust and the fishing rod.  
Hook silvered creek.  

You say a river baptized your grandpa.  
And from the canopy of branches,  

you step into this purl of rain  
to hold a bream like a sheet of copper.  

Gods change things all the time.  
Your feet into cattails, fingers ox eyes—  

tomatoes lipped on spun vines.  
Hold one, cut one. Who knew light could do that?  

Each summer, you are one chalked fir  
snagged on a feral green hill.  

The heavy rust rattle of cicadas.  
Three hawks in the brush.  

If not the moon,  
then a word for it.  

Who knew what sons we might have in spring?  
Mine, the warm glide of his hair.  

"
orion,"

In my dream the dead have arrived  
as escorts. We travel  

past cold hills and wolves  
wild in a deadlocked field. A corporation  

of stars cracks overhead. I lean  
my hand where the hunting dogs  

chase the rabbit, and they tell me  
constellation means assembled  

for life. Then they lend me  
a shovel and dissolve into night.  

There is no other way back. I dig  
through snow until the cold metal strikes.  
"
adiabatic,"
                  down the sink : rushed water

funnels after fish entrails, or grease gives

a type of collapse 

                inward, frying in a pan

fennel-seasoned. An equation equates 

oil and flowers, fields and division. Descent

is a disintegration by parts. What is missing?

 

I want to peer down at myself from above

and point out algae. How my grandfather

took me to the pond 

       for the gutting of it—

one blink’s worth too much. Why isn’t there 

more inside? Why isn’t there more to bleed, 

protrude, be stripped? All these still stalks

 

come from somewhere. Fennel was a field,

was a marathon, was a death in a field 

under clouds of phosphate.

      I slice a fish

sideways and grasp at the inside. Now

things go quickly, death is its own mass

and caves in time toward the event, and

 

viewed from without,

each second slows to a whisper

                         never to cross

over. Here. Here seem all horizons 

to end the same, bundled up in one ribbon 

 

tucked between the teeth and tongue.

"
my body is a house with no walls a pantoum,"

The earth is dry and I live by wanting  

it is not a violent loneliness     just  

defenseless     in the moor of my opened body  

all the places I felt your absence it    was residue -  

the sap between    trees except I have never been  

so raw, except with you    the way the body moves  

when it is in love is so tender     please just  

hold me     touch me      it is not so much  

the drowning    as the attempt to rise  

they tell me       but I am always  

mistaking the wounded for the water    and the  

earth is dry and I live by wanting          like  

cain’s wife and all the women without name   

it was residue      The way the body moves when it  

is in love is so tender     please  

carry me     touch me      it is not so much  

the drowning as the attempt to rise  
"
poem in which my faggotry fakes its own death,"
On the eighth day, coquelicot, <br/>
wearing my Armageddon earring,<br/>

my faggotry jumped to its death<br/>
from the foam spire of its death.<br/>

& on the ninth: in paradise, titmice <br/>
scrubbed its pearls with aftermath flax.<br/>

From its suicide note: So men might <br/>
once again flip you buffalo nickels.<br/>

The being inside my having been so <br/>
delicately razed itself into wondrous pink.<br/>

Meaning my faggotry carried all of astrology <br/>
& I wanted only the varmint baubles,<br/>

little sex cowlick with which I coaxed<br/>
maw into morrow, morrow into morning.<br/>

How many times could I wake like that:<br/>
gowns & waxwings, the paler gust before<br/>

the gust that everyone remembers with a notch<br/>
in the wall when a prodigal boy molts past his pastness?<br/>

How many times could I join the hundred<br/>
apocryphal boys nursing their empire stitch?<br/>

Their faggotries, too, nixed themselves<br/>
with lovability’s long & bedazzled shears:<br/>

drowned in a tub filled with pink milk,<br/>
Alice’d by an extra-large bottle of Rush.<br/>

To build trust, we plunged the javelin of fey<br/>
suspicion, deep & darkling, inch by inch,<br/>

deeper into each other. I think we sought<br/>
a new unto, as in the boys we barely let <br/>

ourselves struggle to be, as in two yuan<br/>
pieces, silver & tinkling, nearly crushing<br/>
each other into the bottom of a celadon<br/>
demitasse given as a gift by a lover who,<br/>

nightly, conspired to push our faggotry<br/>
from the glottal stopgap of the word<br/>

he never said but always meant: not fickle, no, <br/>
not fanged—but blood, yes, & its heavy shimmer. 
<br/>"
what we talk about when we talk about cruising,"
you stopped to take a leak \
he stopped to take a peak \
and then what, you got married? \
how boring 
"
alba,"
The cottonwood was snowing

 I laid the back of my head into the grass

 I thought grass and I woke up with pollen on my eye

 I waited for the wind to come into my hair, lift it like a pile of leaves

 I waited for the white blossoms to stop around me

 I waited until I heard gravel crackling on the asphalt

 Walking back down the road, the shovel I dragged along left a scratch

 I felt the trees around me stabbing up reaching up all up

 For a second, the sky could be torn from the earth

"
burning wheat,"
I am that comet you all have cursed,

 in the dark void drifting aimless and unsettled.

 Love me like an avenger's lost

 last chance at revenge.

  

 I am that person whose shadow was carved on the tree,

 and from that day on taken for dead.

 Love me like a hallucination

 in a crazed killer's fevered brain.

  

 I am that wheat that Heaven too has singed with fire,

 that has shivered even from the dog days' sunlight.

 Love me like a masochist.

 As you cherish reason when the unreasonable surround you.

  

 I am that wolf whose cold bright bones the witch doctor holds in her hand.

 To soil, to air, to flame, to water I will scatter like a spell.

 Love me like miracles not seen even when sun and moon align

 in the sixth degree under the sign of the ram.

  

 August 25, 2004, Ürümchi

  

  

 *Translated from the Uyghur by Joshua L. Freeman. See another of his translations *

 *in the Advocate [here](../../../../article/563/old-era-or-wolf-girl/).  *

 * *

"
the sea beyond this world translated,"
*translated by Kyoko Yoshida and Forrest Gander*

 

a sea beyond this world (what if

 there was (just a (fuzz

 of thought I had (imagination dead

 imagine (we’re told for untold ages to imagine

 the meaning of the world as folds

 and the beyond as folds

 over the elastic roll (of fold on fold (sss… sea

 (like that (still

 we imagine out of habit (yes-yes

 perhaps

 somewhere in the dark universe floating (floating?

 a sea?  (yes (fuzzy

 distant source, a watery uterus (no

 babbling (like abrasions

 profuse grooves (a speck of green

 in the sea of tranquility (floating like soft rock (as

 if you consider it too much                                                     

 the subject (which is your head (so to speak

 would crash down (like that (sss…sea

 just (a thought but

 it’s the spray at least (yes-yes

 in which I would be soaked

  

 the sea beyond this world (and (for a long time

 the ordinary sea (again, again (having swum in the encephaloid

 quietude  (fuzz (in what way

 in what way are they different

 in that quietude (just the (ordinary sea

 swells  (like a medusa

 the sea beyond this world  (palpitating  (adrift

 promenading (this one as (a glossal mire

 the ordinary sea  (so  (moon-inclined

 tonguing and tongued  (this  (tongue

 beyond all world  (sinister red  (the sea  (sinister red             

 itself like  (a moon  (a mire

  

 and you see

 the sea beyond this world (so to speak  (already and always

 took place  (people there

 tugged their boats where they pleased  (and I’ll breach

 kiss  (address  (tomorrow embrace

 the winsome distillate of your flesh

 so to speak (when everything is breached

 there’s nothing left to do  (boats move  (as a thousand grooves

 dazzling diagrams

 and only on those grooves

 can I survive  (imagine  (that

 the stinging surface (of my skin and

 beaded tears of  (semen that never  (poured into you

 are  (grooves

 as well (as the sounds at our death

"
the lease,"
No one alive knows what my body is feeling right now but 

 there’s a way of working it out, and there’s someone who 

 knows how to do that, except first we need to wait for the

 right conditions, and in the meantime send our strength out

 into the disabling humidity to sweat itself into as many drops

 as required for oversight of the metropolis called nowhere. 

 (When I say my body I refer to the one I had been renting

 for many years until recently.) In the past everything was

 divisible by two. People would wait behind a wooden fence

 while a river of grass swept by. It was either noon or night,

 never in between, and most objects tended to be either blue

 or green. The sky was a huge lens through which the sun and

 planets and stars were magnified. Stone towers would 

 perpetually deteriorate, and streets would trail off aimlessly

 to the south and east, into the sea. My concern back then 

 was the amount of paperwork required to document all this. 

 Each day I would create a small chart where I would insert

 certain private symbols whose meanings I would guess at.

 The sun would tilt on its head, trains would travel 

 backwards, and I’d return home to my perch on the hillside,

 beside an easel. Sitting up there, I often saw ships laden with

 pine cones and red leaves to be applied to skulls of thinkers

 in the grass, and these visions lent elasticity to my

 temperament, allowing me to handle new events by calmly

 outfoxing them. Complications did not fail to ensue. For

 example, once as I was writing a poem similar to this one,

 a small animal darted across the page. I say animal but note

  a human animal. Despite my training, these were my

 immediate feelings: aggravation, annoyance, discomfort,

 disgrace, a sense of oppression, destroyed happiness, 

 inconvenience, indignation, insult, mortification, outrage,

 vexation, wounded pride, mental anguish, humiliation &c.

 Well, I think so then and I thought so still. Yet as of today

 my eyes have learned to avoid what they project, and so I

 follow their lead, focusing on an absent center, so to speak, 

 taking that center to be the thing that one day will envelop

 me, save that I know this to be false––a false idealization–– 

 like a pen or pencil gripped tightly in the fist, stabbing the air

 with signs that know no pretense outside of that which

 makes them intelligible. Lights flash east of Opportunity

 Rocks. Most of what remains gazes up at the hazy patch atop

 the night sky, until certain spells leak down like assistants 

 sent to make a task more difficult, plucking out spines of

 light for dark illumination. Is this what I came here to see,

 this thing that once lay beneath my feet, in vaults of 

 equanimity, its soil exchanged for what I’d occupy, 

 instinctively, in a drone of disappointment? Imagine that 

 I’m speaking of the pain I’m feeling in such a way that you

 feel it too; and yet I don’t feel anything. I’d love to be part of

 what you’re part of, to enjoy some poignant dream as it sighs

 in your ear. But I only feel a transcript of real pain. And yet. 

 Try not to put it in words. Eventually I’ll know when

 something has been left out. Is what necessary? I take a 

 short trip through time to find someone whose wings have

 grown sheer or at least impressively faint. I listen to dead

 voices argue beyond what I can make out, their sentences

 rolling to no other purpose than to coax remote things into

 view, even though they fail to maintain interest, and serve

 simply to punctuate the long night. Yes, amazing. For here

 on earth seasons are careless of speech. And there’s no

 recompense without injury. Nobody knows where they

 stand.

"
nearsight,"
It is with his mirror he reconstructs 

the passage

of time. 

The warden walks from the north

wall to the south

one time every hour. Cannot

hear his approach—too loud

with the flushing, the

slamming echoes 

of the two—but can

see it in mirrors

if held here like this

yes, only if you are outside 

can you look in, only with 

a mirror can you look out.

The forcing of myopia 

through the frosting of 

glass windows.

 

It is with his mirror he waits, thinks,

“is there such a thing

 as normal when I am 

a person, people have teeth,

and I am not entitled to them?”

 Just wants teeth to not 

 hiss when speaks, so can

be heard, understood.

They say you will

 die anyway, what need 

 you teeth for—to atone,

to whet a blade for carving?

 

It is with his mirror he shows  

a creation: thirty-two gamepieces,

and a board. Carved of soap,

dyed with pen. 

It is with his mirror he counts backwards,

 inducts backwards,

 comes to the chill

 that comes of it.

It is with his mirror he sees a nick 

 and blood. Cut himself

shaving because the present 

 

 is closer to him

than he could see

is closer to him

than to anyone

else I know. It absorbs 

him as a blanket 

facing wind. There is 

no wind here 

nor any toy or string to wind, find

wound. But there is a wound where 

the selves in mirror

are closer than they appear.

 

"
migrating to elwood city,"

*after Sue Ellen*  
<br>

Here, trees tap-dance like the ghosts  
of nomads – red curls, invisible  
hands, fear, everything else  
that adults cannot see. Confection  
across the housetop – do you think  
they have kids? Here’s what it’s like  
to come from a sugarless world.  
Now I migrate between cavities, thread tongue between  
lips, hear screaming  
down the streets. I promise, invisible  
people won’t chase you  
down the streets, if they have kids,  
anyway. There’s been a heist  
at the art museum – is it the immigrant?  
the child? the security guard? None  
of those, really. I can’t roll  
the Mona Lisa into my backpack  
or conquer the world. Even spaceships  
are made of earth-metals. I wonder how many lies  
can thrive in one town. They die  
away, soon.  
"
inside the houses of other,"
He is Blot

 it is a name

 and down the street

 he walks with

 his name to a

 house of timber

 frame with a door

 of mirrored glass

 that he raps.

 The quavering pane

 buzzes Blot’s reflected

 edges turning

 temporarily to mud.

 Highest definition

 of self then resurrected

 an aquiline vision comes

 twinkling out of the

 stiff staring well at

 the front of the house

 by the corded bell

 he didn’t notice.

 His body is many

 predated little creatures

 he tracks—each

 he knows and smiles at

 from flight high

 over this mirror

 his empyrean head

 lofts always over

 every mirror welling

 like quicksilver kettle

 holes one after another

 sending back Blot

 tilting his shades

 or Frenching a smoke

 or Blot naked

 admiring the quilled

 vasculature of his

 mammalian wings.

 The bird of prey

 surveying its own

 body is the child

 Moses fondling rushes

 tufting by the bend

 awaiting the one

 who will take to him

 the architect’s own concept

 and relish the saw work

 the sanding and the

 double coat. Blot

 craves only an eye

 a Cyclops all head

 and no body. The

 mirror swings suddenly

 inward and the

 frame blinks a black

 lid ruptured by

 a silver shooting

 pit bull gnashing

 artifice to spark

 Blot hauled like metal

 hanging from a bus’s

 underside to the curb

 and left possumed in

 the dark rush of cars

 no taller than bolted

 hubs inch-near

 in passing

"
theme park,"
America tangle with me, hybrid with me   
and what bored surveillance footage,   
stored in decades of black and white?

The roar is a wound.   
Top 40 songs grow from it. Grow through   
each finned speaker like a bad crop.

Someone taps me on the shoulder,   
mistaking. Was I the good lover,   
given over to the motions of goodness?

Screams: a blur of upside faces.   
O from the cramp that many people   
in a line is at last we are here

at last, America, climbing shakes   
the wooden ties, up to where sweat makes   
Rorschachs of the girl in front’s shirt

and desire does horrible things to our body   
pushed and held back into the seat.   
Plastered there as we summit.

Look: the skytower, the parking lot’s rows   
of palms and chrome. We fall for   
minutes into loveliness. And the

downward sky is endless. just a shade   
of yellow on my brain where America   
is nervously pressing its finger.

"
